,assignee,creator,description,key,reporter,summary
0,,Kwame,"We tried upgrading from Spring Boot 2.0.6 to Spring 2.1.0 and noticing a critical multi-threading bug in the WebClient.  We are using Spring WebFlux with Netty Embedded Server

In SpringBoot 2.0.6 you can see data received and published on happens on two different threads but in SpringBoot 2.1.0 all execution is happening on the same thread even data is published to same thread.  Any reason why the multi-threading behavior has changed in SpringBoot 2.1.0?  Seems like a major defect.  This flaw is preventing us from upgrading to Spring Boot 2.1.0.

It appears with Spring Boot 2.1.0 the default threading behavior of the WebClient has changed to where emissions on published on main thread as opposed to a different thread

See results below

I print the thread on the doOnRequest method of the WebClient

I also print the thread on the doOnNext of the Mono

For version 2.10 you can see emissions are published on the main thread but in earlier version

2.0.6 emissions published on a different thread.

You can see even response time increased for 2.10 because emissions are published on main thread as opposed to different thread

2.0.6.RELEASE

2018-11-15 08:49:45.626 INFO 15228 — [ctor-http-nio-5] c.c.x.n.s.handler.rest.SearchHandler : Search request received for query : 
 2018-11-15 08:49:45.630 INFO 15228 — [ctor-http-nio-5] c.c.x.n.c.s.x.impl.HttpSearchService : Request for search using query param : 
 2018-11-15 08:49:45.633 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.h.filter.RequestLoggingFilter : Executing request: GET [https://www|https://www/]
 2018-11-15 08:49:45.635 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.util.AbstractLookupService : Subscribed to request with uri [https://www|https://www/]
 2018-11-15 08:49:45.635 INFO 15228 — [ctor-http-nio-5] c.c.x.n.m.util.AbstractLookupService : Request received for uri [https://www|https://www/] [Thread[reactor-http-nio-5,5,main]]
 2018-11-15 08:49:47.069 INFO 15228 — [ctor-http-nio-4] c.c.x.n.s.f.RequestProcessingTimeFilter : Request processing time for GET 34291c26-8419-4cf9-8c50-eea84bf59d48 is 17 ms with http status null
 2018-11-15 08:49:47.253 INFO 15228 — [ctor-http-nio-8] c.c.x.n.m.util.AbstractLookupService : Time taken for request [http://www|http://www/] is : [1624] ms Thread[reactor-http-nio-8,5,main]]

2.1.0.RELEASE

2018-11-15 09:07:15.886 INFO 5932 — [ctor-http-nio-6] c.c.x.n.s.handler.rest.SearchHandler : Search request received for query : 
 2018-11-15 09:07:15.906 INFO 5932 — [ctor-http-nio-6] c.c.x.n.c.s.x.impl.HttpSearchService : Request for search using query param :
 2018-11-15 09:07:15.912 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.h.filter.RequestLoggingFilter : Executing request: GET [https://www|https://www/]
 2018-11-15 09:07:15.914 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Subscribed to request with uri [https://www|https://www/]
 2018-11-15 09:07:15.915 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Request received for uri [https://www|https://www/]  [Thread[reactor-http-nio-6,5,main]]
 2018-11-15 09:07:18.356 INFO 5932 — [ctor-http-nio-6] c.c.x.n.m.util.AbstractLookupService : Time taken for request [https://www|https://www/] is : [2447] ms  [Thread[reactor-http-nio-6,5,main]]",XD-3769,Kwame,Upgrade to Spring Boot 2.1.0
1,,abhineet kumar,"The jobs that appear under Executions section of Jobs in spring xd admin ui, has restart button disabled. How do I enable this ?",XD-3768,abhineet kumar,How do I make a job restartable in spring xd
2,,Manuel Jordan,"Working with Spring-XD version 1.3.2.RELEASE

Starting the server with {{xd-singlenode}} command, the following happens for the shell

{code}
xd:>admin config
admin config info        admin config server      admin config timezone
xd:>admin config info
  -------------  -------------------------------------------
  Result         Successfully targeted http://localhost:9393
  Target         http://localhost:9393
  Timezone used  Colombia Time (UTC -5:00)
  -------------  -------------------------------------------

xd:>admin config server
Successfully targeted http://localhost:9393/
xd:>admin config timezone
Command 'admin config timezone' not found (for assistance press TAB)
xd:>
{code}

How you can see the {{admin config timezone}} command shows {{Command 'admin config timezone' not found (for assistance press TAB)}}.

Seems a bug because in the previous output this command appears how a third valid option: 

{code}
xd:>admin config
admin config info        admin config server      admin config timezone
{code}",XD-3767,Manuel Jordan,admin config timezone command does not work
3,,Keerthi kanth Nagaraj,"My project 7 node cluster and in that 2 node are Admin containers and remaining are non admin containers. When i applied module upload command it created jar with md5 in custom_modules/jobs path only in admin nodes but not in other nodes. I am able to create job based on the uploaded module but job status is shown as ""Failed"" and the reason behind is jars are not placed in all nodes custom_modules/jobs/test_module.jar.
Can you anyone let us know the exact reason why module upload is pushing jars only to admin nodes but not all other nodes.",XD-3766,Keerthi kanth Nagaraj,Module Upload command not pushing jar to all containers
4,Janne Valkealahti,Mark Pollack,See https://github.com/spring-projects/spring-xd/issues/1924,XD-3765,Mark Pollack,Fix stream failover 
5,,Pavan Srikar,"I'm trying to run a Job on SpringXD and the job has 7 steps, When I reach step 4 i'm shutting down the XD server. When I look into the Metadata of SpringXD I'm saving on OracleDB. I see that the Step 4 is in executing status and it will never change to failed. After restarting the server, I still see that the status of the Job is still executing and it never gets finished. If I launch the job it create a new job and the new one gets finished.

My config.xml for jdbc:

    <jdbc:initialize-database data-source=""dataSource"" 
                      enabled=""false"">
        <jdbc:script location=""org/springframework/batch/core/schema-oracle10g.sql"" />
</jdbc:initialize-database>

From org/springframework/batch/core/schema-oracle10g.sql, I see that the sql queries are for creating a table. But when the tables are already existing, as i didn't drop them from my previous job. There was no error which said tables already exist. The new job got appended to previous existing table. HOW?
How can I force the job to fail when the XD server suddenly goes down?
How can I resume the same job that was stopped from the step where it stopped?
Thank you :)",XD-3764,Pavan Srikar,SpringXD Job is still executing even after forceful Server shutdown
6,,Krzysztof Noga,"Hello,

I have encountered following problem while using Spring XD in DIRT (distributed) mode. I have one xd-admin and two xd-containers, Redis as transportation, and SQL Server 2016 as the database. After deploying a job from UI to all available containers sometimes I get two same entries in table {{XD_JOB_REGISTRY}} for the job:
!select.png!

As a result the JOBS -> Deployments page shows nothing but an error _Error fetching data. Is the XD server running_.

There is following exception in the xd-admin log:
{noformat}
2017-01-23T11:13:11+0100 1.3.1.RELEASE ERROR qtp1854907975-29 rest.RestControllerAdvice - Caught exception while handling a request
org.springframework.dao.IncorrectResultSizeDataAccessException: Incorrect result size: expected 1, actual 2
        at org.springframework.dao.support.DataAccessUtils.requiredSingleResult(DataAccessUtils.java:74) ~[spring-tx-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.jdbc.core.JdbcTemplate.queryForObject(JdbcTemplate.java:791) ~[spring-jdbc-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.jdbc.core.JdbcTemplate.queryForObject(JdbcTemplate.java:814) ~[spring-jdbc-4.2.4.RELEASE.jar:4.2.4.RELEASE]
        at org.springframework.xd.dirt.plugins.job.DistributedJobLocator.isIncrementable(DistributedJobLocator.java:203) ~[spring-xd-dirt-1.3.1.RELEASE.jar:1.3.1.RELEASE]
{noformat}

..because in {{DistributedJobLocator.java}} the query is expected to return exactly one record:
{code:java}
	public Boolean isIncrementable(String jobName) {
		return jdbcTemplate.queryForObject(JOB_INCREMENTABLE, Boolean.class, jobName);
	}
{code}

The code that adds a job in {{DistributedJobLocator.java}} seems to be susceptible to race conditions:
{code:java}
	protected void addJob(String name, boolean incrementable, boolean restartable) {
		Collection<String> jobNames = this.getJobNames();
		// XD admin server will prevent any REST client requests create a job definition with an existing name.
		// ...
		if (!jobNames.contains(name)) {
			addJobName(name, incrementable, restartable);
		}
		else {
			updateJobName(name, incrementable, restartable);
		}
	}

	private void addJobName(String name, boolean incrementable, boolean restartable) {
		jdbcTemplate.update(ADD_JOB_REGISTRY, incrementable, restartable, name);
	}
{code}

...and there are no any unique constraints on the table columns:
{code:sql}
CREATE TABLE XD_JOB_REGISTRY(
    JOB_NAME VARCHAR(100) NOT NULL,
    IS_INCREMENTABLE VARCHAR(10) NOT NULL,
    IS_RESTARTABLE VARCHAR(10) NOT NULL
);
{code}",XD-3763,Krzysztof Noga,Duplicate entries in table XD_JOB_REGISTRY
7,,Issam,"According to the documentation we can load jars dynamically at module creation time by exploiting the attribute module.classloader in the .properties file :

http://docs.spring.io/spring-xd/docs/1.3.1.RELEASE/reference/html/#module-class-loading

I spent two days trying to test this feature. It does not work. The option module.classloader seems to be simply ignored

I did not find any string named module.classloader in the XD code. But I found another one called module.classpath in this class:

https://github.com/spring-projects/spring-xd/blob/master/spring-xd-module/src/main/java/org/springframework/xd/module/options/ModuleUtils.java

The code in the above class seems to match the documentation. But unfortunalletely it does not work too. My classes are not found and I get java.lang.ClassNotFoundException

I have module option named dir4jars where I put the jars to load at creation time (when I issue job create --name xx --defintion ..). It's a directory, and I have tested the following possibilities, with both module.classpath and module.classloader :

{code:java}

module.classpath=${dir4jars}/*.jar
module.classloader=${dir4jars}/*.jar
.
.
job create --name jobName --definition ""myJobModuleName --dir4jars=C:/ELS/Flash/libxd"" --deploy

and

job create --name jobName --definition ""myJobModuleName --dir4jars=file:C:/ELS/Flash/libxd"" --deploy 

{code}

I need the dir4jars to be absolute and outside XD home.

What's the right option to use for this dynamic load? module.classpath or module.classloader ? Is't a bug in the documentation ?

How can I set an absolute directory as I mentioned above?

Many thanks.",XD-3762,Issam,Spring XD Dynamic Module ClassLoader Issue
8,,Urban Krieg,"Hi, 

We use spring config server 1.0.4-RELEASE with spring boot 1.2.5-RELEASE without any problems.

Now i update to spring boot 1.4.0.RELEASE and config 1.2.0.RELEASE.

Since then i have problems with the configserver. In the log you can see that the config server loads different configs. This is done from a start-script file to extract ports. This works fine. 
then i start my spring boot app and at the same time i see these errors (RejectedExecutionException) see attachment.

Question:
- is the config read from the configserver only read once at startup?
- could there be a concurrent issue in the config server?

I have just tested spring boot 1.3.7 with config 1.2.0 and got the same problem.
Did just another test: See ConfigServerLogV1.1.3_SpringBoot1.3.7.txt that has the same problem
",XD-3761,Urban Krieg,java.util.concurrent.RejectedExecutionException in InetUtils.convertAddress
9,,Chua Yew Wee,"Hi,

I'm using LDAP to a Windows Active Directory as the authentication method for SpringXD. But after the user is authenticated in the SpringXD, the user is not authorized to do anythin.

Based on the guides and the configuration files, it is unclear where the authorization rules for each user should be put, ROLE_VIEW, ROLE_CREATE, ROLE_ADMIN.

Can the SpringXD team guide me to where will the authorization rules be created? In SpringXD servers.yml file or in Active Directory?

Regards,
Yew Wee
 ",XD-3760,Chua Yew Wee,SpringXD authenication and authorization using LDAP
